State_Short,State,Quarter,Broad Type of Service, Services ,Benefits, Bulk Billed Services , Patient Billed Services , Bulk Billed Benefits ($) , Patient Billed Benefits ($) ,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service: Out of Hospital Patient Billed ($) , Schedule Fee ($) , Fee Charged ($) , Bulk Billed Fee Charged ($) , Patient Billed Fee Charged ($) 
Tas,Queensland,2022-23 Q4 (Jun Qtr),Total Pathology,"878,440","18,316,333","805,319","73,121","16,534,430","1,781,904",91.70%,29.52,"21,739,806","19,528,021","16,497,936","3,030,085"
NT,South Australia,2022-23 Q4 (Jun Qtr),Total Pathology,"266,466","5,928,305","257,821","8,645","5,677,113","251,191",96.80%,47.44,"6,985,329","6,060,756","5,661,661","399,096"
ACT,Western Australia,2022-23 Q4 (Jun Qtr),Total Pathology,"651,380","14,064,545","599,637","51,743","12,628,266","1,436,280",92.10%,17.66,"16,640,665","15,045,348","12,595,884","2,449,464"
Unk,Tasmania,2022-23 Q4 (Jun Qtr),Total Pathology,734,"16,888",570,164,"12,963","3,925",77.70%, -   ,"20,180","19,630","12,717","6,913"
Australia,Northern Australia,2022-23 Q4 (Jun Qtr),Diagnostic Imaging,"7,468,573","1,166,351,773","5,750,042","1,718,531","918,740,783","247,610,991",77.00%,124.9,"1,261,883,204","1,361,718,095","918,740,783","442,977,312"
NSW,Australian Capital Territory,2022-23 Q4 (Jun Qtr),Diagnostic Imaging,"2,566,475","405,682,030","2,003,372","563,103","321,277,008","84,405,022",78.10%,120.52,"439,514,128","464,290,679","321,277,008","143,013,671"
Vic,Unknown,2022-23 Q4 (Jun Qtr),Diagnostic Imaging,"1,882,766","289,147,986","1,445,083","437,683","229,058,626","60,089,361",76.80%,126.7,"312,028,395","340,534,664","229,058,626","111,476,038"
Qld,Australia,2022-23 Q4 (Jun Qtr),Diagnostic Imaging,"1,526,048","236,563,184","1,164,935","361,113","185,751,248","50,811,936",76.30%,122.96,"255,744,557","278,975,511","185,751,248","93,224,263"
SA,New South Wales,2022-23 Q4 (Jun Qtr),Diagnostic Imaging,"485,237","75,827,485","358,552","126,685","56,633,060","19,194,425",73.90%,131.08,"82,590,200","90,821,031","56,633,060","34,187,971"
WA,Victoria,2022-23 Q4 (Jun Qtr),Diagnostic Imaging,"753,941","119,080,763","606,558","147,383","97,412,791","21,667,972",80.50%,130.38,"128,452,261","136,878,570","97,412,791","39,465,779"
Tas,Queensland,2022-23 Q4 (Jun Qtr),Diagnostic Imaging,"123,336","18,745,522","83,504","39,832","13,304,223","5,441,299",67.70%,121.09,"20,501,161","23,154,147","13,304,223","9,849,924"
NT,South Australia,2022-23 Q4 (Jun Qtr),Diagnostic Imaging,"38,624","5,695,782","32,615","6,009","4,894,498","801,284",84.40%,146,"6,094,337","6,531,301","4,894,498","1,636,804"
ACT,Western Australia,2022-23 Q4 (Jun Qtr),Diagnostic Imaging,"92,040","15,588,767","55,345","36,695","10,394,750","5,194,018",60.10%,139.92,"16,936,032","20,508,476","10,394,750","10,113,727"
Unk,Tasmania,2022-23 Q4 (Jun Qtr),Diagnostic Imaging,106,"20,254",78,28,"14,580","5,674",73.60%,145.31,"22,133","23,716","14,580","9,136"
Australia,Northern Australia,2022-23 Q4 (Jun Qtr),Total Operations,"2,969,585","592,010,099","1,035,540","1,934,045","116,923,292","475,086,807",34.90%,112.89,"740,987,531","1,249,356,131","116,923,292","1,132,432,839"
NSW,Australian Capital Territory,2022-23 Q4 (Jun Qtr),Total Operations,"973,249","197,659,145","368,826","604,423","43,986,780","153,672,364",37.90%,126.21,"243,493,368","429,225,478","43,986,780","385,238,697"
Vic,Unknown,2022-23 Q4 (Jun Qtr),Total Operations,"626,928","135,275,824","167,473","459,455","21,250,474","114,025,350",26.70%,117.11,"171,983,771","283,067,772","21,250,474","261,817,298"
Qld,Australia,2022-23 Q4 (Jun Qtr),Total Operations,"745,230","129,601,072","327,869","417,361","33,468,249","96,132,824",44.00%,105.79,"160,750,606","270,406,345","33,468,249","236,938,096"
SA,New South Wales,2022-23 Q4 (Jun Qtr),Total Operations,"199,982","43,349,541","58,554","141,428","6,695,228","36,654,313",29.30%,85.39,"55,601,295","84,557,057","6,695,228","77,861,829"
WA,Victoria,2022-23 Q4 (Jun Qtr),Total Operations,"312,388","62,098,782","88,381","224,007","8,671,043","53,427,739",28.30%,95.99,"78,990,264","126,217,288","8,671,043","117,546,245"
Tas,Queensland,2022-23 Q4 (Jun Qtr),Total Operations,"60,970","13,142,875","12,208","48,762","1,454,543","11,688,332",20.00%,74.05,"16,856,405","26,894,223","1,454,543","25,439,680"
NT,South Australia,2022-23 Q4 (Jun Qtr),Total Operations,"13,382","2,461,481","5,813","7,569","586,048","1,875,432",43.40%,101.87,"3,135,575","5,478,121","586,048","4,892,073"
ACT,Western Australia,2022-23 Q4 (Jun Qtr),Total Operations,"37,412","8,412,449","6,398","31,014","808,853","7,603,596",17.10%,158.92,"10,165,040","23,492,538","808,853","22,683,685"
Unk,Tasmania,2022-23 Q4 (Jun Qtr),Total Operations,44,"8,931",18,26,"2,074","6,857",40.90%,156.26,"11,206","17,310","2,074","15,236"
Australia,Northern Australia,2022-23 Q4 (Jun Qtr),Optometry,"2,660,148","132,625,940","2,508,668","151,480","125,123,294","7,502,646",94.30%,37.13,"155,772,807","138,250,485","125,123,294","13,127,191"
NSW,Australian Capital Territory,2022-23 Q4 (Jun Qtr),Optometry,"843,142","41,986,497","804,851","38,291","40,069,710","1,916,787",95.50%,36.03,"49,328,237","43,366,257","40,069,710","3,296,547"
Vic,Unknown,2022-23 Q4 (Jun Qtr),Optometry,"693,841","34,820,155","647,862","45,979","32,491,579","2,328,576",93.40%,37.03,"40,884,979","36,522,906","32,491,579","4,031,327"
Qld,Australia,2022-23 Q4 (Jun Qtr),Optometry,"563,847","27,922,201","530,286","33,561","26,318,144","1,604,057",94.00%,35.12,"32,788,598","29,100,775","26,318,144","2,782,631"
SA,New South Wales,2022-23 Q4 (Jun Qtr),Optometry,"193,483","9,693,296","184,881","8,602","9,271,307","421,990",95.60%,36.08,"11,393,780","10,003,652","9,271,307","732,346"
WA,Victoria,2022-23 Q4 (Jun Qtr),Optometry,"246,034","12,245,906","231,331","14,703","11,524,733","721,173",94.00%,43.44,"14,385,590","12,884,602","11,524,733","1,359,870"
Tas,Queensland,2022-23 Q4 (Jun Qtr),Optometry,"56,151","2,788,080","52,386","3,765","2,601,160","186,919",93.30%,28.83,"3,277,855","2,896,641","2,601,160","295,481"
NT,South Australia,2022-23 Q4 (Jun Qtr),Optometry,"18,372","920,716","17,989",383,"903,154","17,562",97.90%,46.03,"1,082,543","938,347","903,154","35,193"
ACT,Western Australia,2022-23 Q4 (Jun Qtr),Optometry,"45,252","2,247,770","39,058","6,194","1,942,249","305,521",86.30%,46.52,"2,629,673","2,535,930","1,942,249","593,681"
Unk,Tasmania,2022-23 Q4 (Jun Qtr),Optometry,26,"1,320",24,2,"1,260",60,92.30%,27.45,"1,553","1,375","1,260",115
Australia,Northern Australia,2022-23 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"681,465","175,204,527","527,104","154,361","118,262,745","56,941,782",77.30%,70.78,"166,603,031","186,978,413","118,262,745","68,715,668"
NSW,Australian Capital Territory,2022-23 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"204,325","50,847,803","167,510","36,815","36,876,569","13,971,234",82.00%,69.63,"50,087,547","53,573,190","36,876,569","16,696,621"
Vic,Unknown,2022-23 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"165,378","42,256,512","130,286","35,092","29,339,178","12,917,334",78.80%,71.56,"41,242,927","45,162,802","29,339,178","15,823,624"
Qld,Australia,2022-23 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"150,938","41,016,132","103,207","47,731","24,686,672","16,329,460",68.40%,68.62,"36,543,799","44,546,887","24,686,672","19,860,216"
SA,New South Wales,2022-23 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"50,389","13,263,929","36,880","13,509","8,619,286","4,644,644",73.20%,57.23,"12,820,525","14,063,679","8,619,286","5,444,394"
WA,Victoria,2022-23 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"78,624","20,970,116","63,161","15,463","13,770,483","7,199,633",80.30%,93.19,"19,122,214","22,406,664","13,770,483","8,636,181"
Tas,Queensland,2022-23 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"19,874","4,235,754","16,331","3,543","3,221,728","1,014,026",82.20%,48.11,"4,351,862","4,424,320","3,221,728","1,202,592"
NT,South Australia,2022-23 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"3,375","838,707","3,336",39,"794,046","44,661",98.80%,261.58,"899,417","848,909","794,046","54,863"
ACT,Western Australia,2022-23 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"8,533","1,753,123","6,387","2,146","950,250","802,873",74.90%,80.32,"1,522,579","1,924,374","950,250","974,124"
Unk,Tasmania,2022-23 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,29,"22,452",6,23,"4,535","17,917",20.70%,223.35,"12,162","27,589","4,535","23,054"
Australia,Northern Australia,2022-23 Q4 (Jun Qtr),Other MBS Services,"3,078,067","468,798,435","1,863,535","1,214,532","299,031,948","169,766,487",60.50%,137.5,"517,414,758","601,655,631","299,031,948","302,623,684"
NSW,Australian Capital Territory,2022-23 Q4 (Jun Qtr),Other MBS Services,"1,017,153","157,220,244","629,892","387,261","101,700,747","55,519,497",61.90%,146.93,"174,641,971","201,402,150","101,700,747","99,701,403"
Vic,Unknown,2022-23 Q4 (Jun Qtr),Other MBS Services,"746,508","120,312,226","485,008","261,500","76,415,667","43,896,559",65.00%,175.14,"130,270,754","154,680,017","76,415,667","78,264,349"
Qld,Australia,2022-23 Q4 (Jun Qtr),Other MBS Services,"650,324","94,626,232","370,506","279,818","61,751,751","32,874,482",57.00%,120.36,"105,547,224","120,830,451","61,751,751","59,078,701"
SA,New South Wales,2022-23 Q4 (Jun Qtr),Other MBS Services,"225,812","33,933,469","120,760","105,052","20,226,464","13,707,005",53.50%,101,"37,677,907","43,636,611","20,226,464","23,410,147"
WA,Victoria,2022-23 Q4 (Jun Qtr),Other MBS Services,"314,952","41,616,740","186,464","128,488","25,513,857","16,102,883",59.20%,108.33,"46,478,334","54,161,777","25,513,857","28,647,920"
Tas,Queensland,2022-23 Q4 (Jun Qtr),Other MBS Services,"59,325","9,852,101","31,782","27,543","6,605,735","3,246,366",53.60%,81.67,"11,124,168","11,917,261","6,605,735","5,311,526"
NT,South Australia,2022-23 Q4 (Jun Qtr),Other MBS Services,"19,075","4,739,074","14,983","4,092","3,757,095","981,979",78.50%,235.49,"4,950,082","5,512,501","3,757,095","1,755,406"
ACT,Western Australia,2022-23 Q4 (Jun Qtr),Other MBS Services,"44,886","6,488,445","24,124","20,762","3,058,005","3,430,441",53.70%,164.1,"6,716,337","9,498,982","3,058,005","6,440,978"
Unk,Tasmania,2022-23 Q4 (Jun Qtr),Other MBS Services,32,"9,902",16,16,"2,627","7,275",50.00%,420.33,"7,980","15,882","2,627","13,255"
Australia,Northern Australia,2023-24 Q1 (Sep Qtr),Total Medicare,"114,601,393","7,244,996,943","85,362,742","29,238,651","4,631,837,258","2,613,159,685",74.50%,72.64,"7,863,688,152","9,799,675,677","4,629,364,279","5,170,311,398"
NSW,Australian Capital Territory,2023-24 Q1 (Sep Qtr),Total Medicare,"38,359,558","2,442,574,382","29,319,246","9,040,312","1,610,640,992","831,933,390",76.40%,79.24,"2,650,310,142","3,285,127,018","1,609,674,212","1,675,452,806"
Vic,Unknown,2023-24 Q1 (Sep Qtr),Total Medicare,"29,695,632","1,849,417,710","22,126,815","7,568,817","1,179,850,444","669,567,266",74.50%,73.09,"2,003,847,748","2,488,686,264","1,179,272,186","1,309,414,079"
Qld,Australia,2023-24 Q1 (Sep Qtr),Total Medicare,"23,314,006","1,490,845,343","17,330,456","5,983,550","954,520,239","536,325,105",74.30%,69.6,"1,613,239,140","2,019,870,594","954,079,820","1,065,790,774"
SA,New South Wales,2023-24 Q1 (Sep Qtr),Total Medicare,"7,896,884","495,017,762","5,695,346","2,201,538","305,104,226","189,913,536",72.10%,61.7,"544,036,228","661,295,670","304,892,031","356,403,639"
WA,Victoria,2023-24 Q1 (Sep Qtr),Total Medicare,"10,742,155","680,055,527","7,680,749","3,061,406","415,661,615","264,393,912",71.50%,68.17,"742,669,185","934,154,451","415,473,774","518,680,677"
Tas,Queensland,2023-24 Q1 (Sep Qtr),Total Medicare,"2,278,783","139,685,091","1,618,596","660,187","81,932,901","57,752,189",71.00%,63.46,"153,263,126","192,979,870","81,897,337","111,082,532"
NT,South Australia,2023-24 Q1 (Sep Qtr),Total Medicare,"691,332","41,680,359","561,306","130,026","31,023,304","10,657,056",81.20%,64.26,"44,983,059","52,749,508","31,008,068","21,741,440"
ACT,Western Australia,2023-24 Q1 (Sep Qtr),Total Medicare,"1,621,653","105,626,376","1,029,274","592,379","53,046,666","52,579,709",63.50%,78.26,"111,237,188","164,676,111","53,009,980","111,666,131"
Unk,Tasmania,2023-24 Q1 (Sep Qtr),Total Medicare,"1,390","94,393",954,436,"56,872","37,522",68.60%,66.62,"102,335","136,191","56,872","79,319"
Australia,Northern Australia,2023-24 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"41,611,756","2,293,521,813","31,832,346","9,779,410","1,788,473,174","505,048,639",76.50%,42.03,"2,269,839,379","2,703,989,485","1,788,473,174","915,516,311"
NSW,Australian Capital Territory,2023-24 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"13,715,062","753,555,114","11,154,239","2,560,823","619,612,016","133,943,098",81.30%,41.67,"746,242,050","860,032,262","619,612,016","240,420,246"
Vic,Unknown,2023-24 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"11,155,846","606,332,386","8,650,662","2,505,184","476,173,267","130,159,119",77.50%,42.42,"600,060,671","712,434,365","476,173,267","236,261,098"
Qld,Australia,2023-24 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"8,409,649","472,188,183","6,275,863","2,133,786","361,526,431","110,661,752",74.60%,42.62,"466,600,425","562,989,835","361,526,431","201,463,404"
SA,New South Wales,2023-24 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"2,832,466","156,100,873","2,030,118","802,348","115,689,412","40,411,462",71.70%,36.13,"155,179,201","185,086,027","115,689,412","69,396,615"
WA,Victoria,2023-24 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"3,856,288","211,627,826","2,702,722","1,153,566","154,442,093","57,185,733",70.10%,42.04,"209,894,797","260,091,747","154,442,093","105,649,653"
Tas,Queensland,2023-24 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"807,390","45,717,274","539,451","267,939","31,674,854","14,042,420",66.80%,48.21,"45,135,151","58,626,041","31,674,854","26,951,187"
NT,South Australia,2023-24 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"254,205","15,876,959","181,529","72,676","12,309,752","3,567,207",71.40%,39.86,"15,830,956","18,775,379","12,309,752","6,465,627"
ACT,Western Australia,2023-24 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"580,426","32,099,198","297,488","282,938","17,029,793","15,069,405",51.30%,48.87,"30,872,938","45,923,912","17,029,793","28,894,120"
Unk,Tasmania,2023-24 Q1 (Sep Qtr),Total GP Non-Referred Attendances,424,"24,001",274,150,"15,558","8,442",64.60%,39.66,"23,189","29,918","15,558","14,360"
Australia,Northern Australia,2023-24 Q1 (Sep Qtr),Practice Nurse,"588,723","10,031,964","568,801","19,922","8,679,689","1,352,275",96.60%,15.52,"9,303,591","10,341,170","8,679,689","1,661,481"
NSW,Australian Capital Territory,2023-24 Q1 (Sep Qtr),Practice Nurse,"172,050","2,731,254","168,043","4,007","2,490,365","240,889",97.70%,14.53,"2,609,367","2,789,457","2,490,365","299,092"
Vic,Unknown,2023-24 Q1 (Sep Qtr),Practice Nurse,"114,949","1,917,185","108,964","5,985","1,487,461","429,724",94.80%,17.26,"1,680,767","2,020,478","1,487,461","533,018"
Qld,Australia,2023-24 Q1 (Sep Qtr),Practice Nurse,"153,389","2,906,431","145,816","7,573","2,321,755","584,675",95.10%,16.34,"2,575,566","3,030,196","2,321,755","708,440"
SA,New South Wales,2023-24 Q1 (Sep Qtr),Practice Nurse,"45,745","650,387","44,913",832,"636,226","14,161",98.20%,4.19,"652,859","653,874","636,226","17,648"
WA,Victoria,2023-24 Q1 (Sep Qtr),Practice Nurse,"58,309","939,435","57,896",413,"932,448","6,986",99.30%,6.82,"939,210","942,250","932,448","9,801"
Tas,Queensland,2023-24 Q1 (Sep Qtr),Practice Nurse,"15,676","270,864","14,742",934,"205,783","65,081",94.00%,15.82,"234,954","285,641","205,783","79,858"
NT,South Australia,2023-24 Q1 (Sep Qtr),Practice Nurse,"24,946","564,044","24,818",128,"554,659","9,385",99.50%,20.12,"558,948","566,620","554,659","11,961"
ACT,Western Australia,2023-24 Q1 (Sep Qtr),Practice Nurse,"3,654","52,301","3,604",50,"50,929","1,372",98.60%,5.8,"51,855","52,591","50,929","1,662"
Unk,Tasmania,2023-24 Q1 (Sep Qtr),Practice Nurse,5,65,5, -   ,65, -   ,100.00%, - ,65,65,65, -   
Australia,Northern Australia,2023-24 Q1 (Sep Qtr),Other Allied Health,"3,968,520","338,047,074","1,778,214","2,190,306","122,524,924","215,522,150",44.80%,63.83,"369,470,853","477,851,394","122,524,924","355,326,470"
NSW,Australian Capital Territory,2023-24 Q1 (Sep Qtr),Other Allied Health,"1,240,707","105,589,123","554,196","686,511","38,363,893","67,225,230",44.70%,63.57,"114,776,662","149,227,793","38,363,893","110,863,900"
Vic,Unknown,2023-24 Q1 (Sep Qtr),Other Allied Health,"1,153,568","97,929,427","498,650","654,918","34,127,001","63,802,426",43.20%,63.66,"106,942,510","139,618,420","34,127,001","105,491,419"
Qld,Australia,2023-24 Q1 (Sep Qtr),Other Allied Health,"784,058","66,056,091","382,072","401,986","26,458,395","39,597,696",48.70%,63.79,"72,555,335","91,696,857","26,458,395","65,238,462"
SA,New South Wales,2023-24 Q1 (Sep Qtr),Other Allied Health,"304,881","24,432,241","170,919","133,962","11,320,856","13,111,384",56.10%,60.35,"27,491,394","32,516,868","11,320,856","21,196,011"
WA,Victoria,2023-24 Q1 (Sep Qtr),Other Allied Health,"354,010","31,505,982","141,024","212,986","9,740,270","21,765,711",39.80%,66.7,"34,334,666","45,712,810","9,740,270","35,972,540"
Tas,Queensland,2023-24 Q1 (Sep Qtr),Other Allied Health,"71,959","6,489,129","18,374","53,585","1,514,145","4,974,985",25.50%,51.34,"7,185,146","9,240,402","1,514,145","7,726,257"
NT,South Australia,2023-24 Q1 (Sep Qtr),Other Allied Health,"12,501","1,008,352","6,026","6,475","436,579","571,773",48.20%,73.99,"1,145,027","1,487,412","436,579","1,050,832"
ACT,Western Australia,2023-24 Q1 (Sep Qtr),Other Allied Health,"46,799","5,033,681","6,945","39,854","563,203","4,470,479",14.80%,83.12,"5,036,826","8,346,166","563,203","7,782,963"
Unk,Tasmania,2023-24 Q1 (Sep Qtr),Other Allied Health,37,"3,047",8,29,581,"2,466",21.60%,55.82,"3,288","4,666",581,"4,085"
Australia,Northern Australia,2023-24 Q1 (Sep Qtr),Specialist Attendances,"8,914,626","804,544,868","2,608,035","6,306,591","226,296,629","578,248,239",29.30%,110.45,"886,586,642","1,392,109,925","226,296,629","1,165,813,296"
NSW,Australian Capital Territory,2023-24 Q1 (Sep Qtr),Specialist Attendances,"3,073,798","286,621,529","993,739","2,080,059","88,883,554","197,737,975",32.30%,117.8,"311,901,307","497,468,166","88,883,554","408,584,612"
Vic,Unknown,2023-24 Q1 (Sep Qtr),Specialist Attendances,"2,497,746","227,384,389","758,558","1,739,188","67,472,461","159,911,928",30.40%,104.26,"253,099,729","379,691,295","67,472,461","312,218,834"
Qld,Australia,2023-24 Q1 (Sep Qtr),Specialist Attendances,"1,680,159","149,143,130","431,699","1,248,460","35,424,262","113,718,868",25.70%,111.27,"163,512,269","264,051,452","35,424,262","228,627,191"
SA,New South Wales,2023-24 Q1 (Sep Qtr),Specialist Attendances,"631,725","52,862,809","195,673","436,052","15,952,320","36,910,489",31.00%,89.72,"59,969,282","87,448,512","15,952,320","71,496,192"
WA,Victoria,2023-24 Q1 (Sep Qtr),Specialist Attendances,"722,357","60,784,506","145,913","576,444","11,366,417","49,418,089",20.20%,114.04,"67,984,768","114,238,420","11,366,417","102,872,003"
Tas,Queensland,2023-24 Q1 (Sep Qtr),Specialist Attendances,"156,516","12,959,451","42,942","113,574","3,671,851","9,287,601",27.40%,92.66,"14,672,397","21,769,394","3,671,851","18,097,543"
NT,South Australia,2023-24 Q1 (Sep Qtr),Specialist Attendances,"28,294","2,441,765","8,617","19,677","750,401","1,691,364",30.50%,113.81,"2,780,024","4,322,653","750,401","3,572,252"
ACT,Western Australia,2023-24 Q1 (Sep Qtr),Specialist Attendances,"123,888","12,335,051","30,843","93,045","2,771,366","9,563,685",24.90%,130.87,"12,653,118","23,098,161","2,771,366","20,326,795"
